,Q,S,male,Tier 2,Tier 3,Miss,Mr,Mrs,Other,Kid,Old,Teen,Young,Unique_ticket_status,Sibling_present,Parent_present
201,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
115,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
255,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1103,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
195,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1281,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1138,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
288,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
270,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
248,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
1015,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
602,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
789,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
546,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
927,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
88,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
807,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1247,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
962,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
761,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
639,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
891,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
65,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
1074,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1009,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
60,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
976,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
629,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
693,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
579,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1220,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
909,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
430,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
422,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
701,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
108,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1071,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
198,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
1055,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0
119,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
418,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1147,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
988,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1238,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
484,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
386,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
561,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
19,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
576,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
304,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1011,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1085,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
969,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
991,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
697,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
536,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
142,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
487,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
75,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1215,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
979,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1271,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
363,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1283,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
204,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
1254,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
778,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
309,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
419,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1117,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
163,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
538,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1104,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1
589,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
985,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
424,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
1033,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1251,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1
111,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
159,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1
634,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
1097,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
661,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
267,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1
725,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
673,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
283,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
752,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1068,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
101,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
